cod_ibge;municipio;populacao_2000;populacao_2010;populacao_2020;populacao_2030;populacao_2040;populacao_2050;tx_crescimentopop_2000/2010;tx_crescimentopop_2010/2020;tx_crescimentopop_2020/2030;tx_crescimentopop_2030/2040;tx_crescimentopop_2040/2050
3500105;Adamantina;33.484;33.794;33.894;33.479;32.420;30.686;0,09;0,03;-0,12;-0,32;-0,55
3500204;Adolfo;3.680;3.558;3.447;3.320;3.139;2.903;-0,34;-0,32;-0,37;-0,56;-0,78
3500303;Aguaí;28.145;32.113;35.608;38.105;39.432;39.702;1,33;1,04;0,68;0,34;0,07
3500402;Águas da Prata;7.127;7.580;7.797;7.832;7.594;7.160;0,62;0,28;0,04;-0,31;-0,59
3500501;Águas de Lindóia;16.145;17.257;18.374;18.877;18.862;18.477;0,67;0,63;0,27;-0,01;-0,21
3500550;Águas de Santa Bárbara;5.210;5.598;5.931;6.147;6.200;6.119;0,72;0,58;0,36;0,09;-0,13
3500600;Águas de São Pedro;1.881;2.699;3.122;3.292;3.311;3.272;3,68;1,47;0,53;0,06;-0,12
3500709;Agudos;32.459;34.506;36.134;37.085;37.112;36.297;0,61;0,46;0,26;0,01;-0,22
3500758;Alambari;3.647;4.872;5.779;6.494;6.814;6.924;2,94;1,72;1,17;0,48;0,16
3500808;Alfredo Marcondes;3.695;3.889;3.927;3.865;3.710;3.470;0,51;0,1;-0,16;-0,41;-0,67
3500907;Altair;3.527;3.813;4.036;4.161;4.193;4.089;0,78;0,57;0,31;0,08;-0,25
3501004;Altinópolis;15.463;15.606;15.553;15.428;15.030;14.379;0,09;-0,03;-0,08;-0,26;-0,44
3501103;Alto Alegre;4.266;4.103;4.017;3.899;3.719;3.479;-0,39;-0,21;-0,3;-0,47;-0,66
3501152;Alumínio;15.237;16.825;17.972;18.877;19.410;19.403;1;0,66;0,49;0,28;0
3501202;Álvares Florence;4.322;3.900;3.621;3.351;3.040;2.679;-1,02;-0,74;-0,77;-0,97;-1,26
3501301;Álvares Machado;22.622;23.506;23.789;24.035;23.755;22.793;0,38;0,12;0,1;-0,12;-0,41
3501400;Álvaro de Carvalho;4.099;4.645;5.044;5.374;5.595;5.730;1,26;0,83;0,64;0,4;0,24
3501509;Alvinlândia;2.834;2.999;3.176;3.299;3.377;3.399;0,57;0,58;0,38;0,23;0,06
3501608;Americana;182.300;210.387;233.458;246.562;248.008;239.899;1,44;1,05;0,55;0,06;-0,33
3501707;Américo Brasiliense;28.196;34.421;40.243;44.127;46.283;46.946;2,01;1,57;0,93;0,48;0,14
3501806;Américo de Campos;5.594;5.705;5.736;5.643;5.400;5.032;0,2;0,05;-0,16;-0,44;-0,7
3501905;Amparo;60.305;65.782;69.639;71.156;69.883;66.509;0,87;0,57;0,22;-0,18;-0,49
3502002;Analândia;3.576;4.287;4.850;5.259;5.468;5.503;1,83;1,24;0,81;0,39;0,06
3502101;Andradina;55.134;55.333;56.054;56.103;55.048;52.610;0,04;0,13;0,01;-0,19;-0,45
3502200;Angatuba;19.276;22.184;24.501;26.264;27.071;27.118;1,42;1;0,7;0,3;0,02
